Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15748149,"Nguyễn Đức Danh","2026-06-09 00:57:29",0.95099,76,cdanht2
2,15592336,"Oscar Le","2026-06-08 19:32:03",0.93787,128,oscarletech
3,16065027,"Knight of Favonius","2026-06-09 09:26:45",0.93771,20,ladyfaye
4,16002936,"Harsh Rajbhar","2026-06-08 21:41:18",0.93568,11,harshrajbhar
5,15729634,"GAURAV PARKHEDKAR","2026-06-09 10:37:25",0.93440,8,gauravparkhedkar
6,15656569,"Emre Cirak","2026-05-25 20:51:27",0.93279,34,biohack44
7,16038924,adarsh_rajbhar1234@,"2026-05-31 21:36:48",0.93250,9,adarshrajbhar1234
8,15986840,ENZO_NUM,"2026-06-08 21:42:38",0.93250,17,enzonum
9,16007928,"CORE CLOCK","2026-06-02 14:30:01",0.93250,7,coreclock
10,16024322,mindset324,"2026-05-31 21:49:02",0.93191,9,mindset324
11,15796640,"YES I CAN","2026-06-08 22:45:07",0.92778,13,aaaml007
12,16007936,FRISTY,"2026-06-05 22:26:52",0.92709,8,fristy
13,16062649,"Adi Kusuma","2026-06-09 09:40:23",0.92485,4,adikusum4
14,15756050,"ömer kiraz","2026-06-09 12:30:36",0.92378,10,merkiraz
15,16244910,konichiwasepogaichi,"2026-06-08 08:16:49",0.90121,7,konichiwasepogaichi
16,15743210,KoiralaAnand,"2026-06-03 10:21:00",0.89856,22,anandkoirala
17,16093675,Vandit,"2026-05-30 14:29:53",0.89344,7,vandittyagi0909
18,15592591,"Muhammad Haaris 27083","2026-06-09 03:10:00",0.88773,6,muhammadhaaris27083
19,15788473,"Kun Zhang","2026-06-08 13:32:39",0.87382,93,beicicc
20,15600626,WBF_USA_NYC,"2026-06-02 12:35:49",0.86608,22,wbfranci
21,16092905,"Team Awesome","2026-06-07 18:53:13",0.86109,7,"dipshreevartak,yashpurbhe123"
22,15916384,"NLP is better than CV","2026-05-17 11:40:04",0.86015,14,yupeihao
23,16269706,"Mathieu W","2026-06-09 13:30:03",0.85931,3,mathieuw
24,16245548,Prabhpreet_Singh5,"2026-06-09 12:32:13",0.85403,4,prabhpreetsingh5
25,15880254,HYUNUK123,"2026-06-09 15:15:18",0.84988,46,hyunuk123
26,16019564,THe_vK,"2026-05-28 08:41:12",0.84520,12,thevk3
27,16072527,"Panagiotis Niarchos","2026-05-28 11:01:25",0.84424,2,panagiotisniarchos
28,16149597,"Patel swayam","2026-06-03 10:06:25",0.84179,2,patel1243
29,15921334,asddsaz,"2026-05-16 20:03:35",0.84022,9,asddsaz
30,15963758,gin_tonic,"2026-06-06 00:00:36",0.84018,20,"ryota88888,takagiy"
31,15824845,"Issa Mansour","2026-05-29 05:45:58",0.83907,30,issamansour
32,15659665,GaoZixiang,"2026-05-05 14:00:09",0.83705,20,gaozixiang
33,15704885,moeuuu,"2026-05-22 09:23:44",0.83479,5,moeuuu
34,15832885,"Abhinav Bhamidipati","2026-05-09 16:02:56",0.83443,12,abhinavb7
35,15749281,"Zhang Huiming","2026-05-11 02:37:37",0.82892,9,allenlovecandies
36,15592007,Yellow,"2026-05-31 21:48:25",0.82833,18,tanishqgupta0211
